49,  0.18750 0.022949 -0.052246 1.005371 -2.125000 -2.062500 0.812500 0.205078 0.020996 -0.451172;
50,  0.19141 0.011230 -0.032715 1.001465 -1.750000 -1.812500 0.750000 0.205078 0.020996 -0.451172;
51,  0.19531 0.019043 -0.063965 1.012695 -1.375000 -1.687500 0.562500 0.205078 0.020996 -0.451172;
52,  0.19922 0.019043 -0.052246 0.981934 -0.812500 -1.750000 0.062500 0.205078 0.020996 -0.451172;
53,  0.20312 0.003418 -0.032715 0.989746 -0.312500 -1.562500 0.125000 0.205078 0.020996 -0.451172;
54,  0.20703 0.019043 -0.032715 1.001465 -0.312500 -1.000000 0.000000 0.205078 0.020996 -0.451172;
55,  0.21094 0.019043 -0.052246 1.009277 -0.062500 -0.687500 0.250000 0.217773 0.038574 -0.446289;
56,  0.21484 0.011230 -0.056152 1.020508 0.000000 -0.062500 0.125000 0.217773 0.038574 -0.446289;
57,  0.21875 0.022949 -0.067871 0.985840 -0.750000 0.000000 0.062500 0.217773 0.038574 -0.446289;
58,  0.22266 0.019043 -0.060059 1.012695 -1.500000 0.437500 -0.062500 0.212402 0.033691 -0.448730;
59,  0.22656 0.026855 -0.040527 1.012695 -1.750000 0.375000 -0.125000 0.212402 0.033691 -0.448730;
60,  0.23047 0.022949 -0.020996 1.005371 -1.812500 0.312500 -0.562500 0.212402 0.033691 -0.448730;
61,  0.23438 0.026855 -0.060059 1.001465 -1.687500 0.562500 -0.375000 0.212402 0.033691 -0.448730;
62,  0.23828 0.030762 -0.052246 0.993652 -2.000000 0.250000 -0.750000 0.205078 0.043457 -0.436035;
63,  0.24219 0.030762 -0.056152 1.005371 -2.437500 0.125000 -1.000000 0.205078 0.043457 -0.436035;
64,  0.24609 0.011230 -0.056152 0.985840 -2.250000 -0.187500 -1.375000 0.205078 0.043457 -0.436035;
65,  0.25000 -0.012207 -0.063965 0.989746 -1.437500 -0.187500 -1.500000 0.202148 0.043457 -0.448730;
66,  0.25391 0.019043 -0.056152 0.974121 -1.312500 -0.687500 -1.687500 0.202148 0.043457 -0.448730;
67,  0.25781 0.003418 -0.063965 1.001465 -0.687500 -0.812500 -1.375000 0.202148 0.043457 -0.448730;
68,  0.26172 0.011230 -0.071777 0.981934 -1.187500 -0.687500 -1.312500 0.202148 0.043457 -0.448730;
69,  0.26562 0.019043 -0.052246 0.997559 -1.437500 -0.375000 -1.437500 0.202148 0.043457 -0.448730;
70,  0.26953 0.015137 -0.063965 0.985840 -1.312500 -0.187500 -1.625000 0.202148 0.043457 -0.448730;
71,  0.27344 0.011230 -0.044434 1.001465 -0.812500 -0.062500 -1.750000 0.202148 0.043457 -0.448730;
72,  0.27734 0.000000 -0.028809 0.989746 -0.437500 0.250000 -1.812500 0.207519 0.041016 -0.438477;
73,  0.28125 0.019043 -0.017090 1.016602 0.000000 0.625000 -1.750000 0.207519 0.041016 -0.438477;
74,  0.28516 0.003418 -0.036621 1.032227 -0.375000 1.187500 -1.562500 0.207519 0.041016 -0.438477;
75,  0.28906 0.015137 -0.028809 1.005371 -0.500000 1.125000 -1.562500 0.205078 0.043457 -0.446289;
76,  0.29297 0.003418 -0.036621 0.981934 -0.750000 1.500000 -1.125000 0.205078 0.043457 -0.446289;
77,  0.29688 0.015137 -0.067871 1.005371 -1.125000 1.312500 -0.687500 0.205078 0.043457 -0.446289;
78,  0.30078 0.015137 -0.052246 1.005371 -1.562500 1.187500 -0.187500 0.205078 0.043457 -0.446289;
79,  0.30469 0.007324 -0.052246 1.020508 -1.312500 0.750000 0.125000 0.212402 0.031250 -0.443848;
80,  0.30859 0.011230 -0.048340 0.997559 -0.750000 0.250000 0.312500 0.212402 0.031250 -0.443848;
81,  0.31250 0.019043 -0.044434 1.005371 -0.312500 -0.187500 0.375000 0.212402 0.031250 -0.443848;
82,  0.31641 -0.003906 -0.067871 0.989746 -0.437500 -0.312500 0.750000 0.214844 0.038574 -0.446289;
83,  0.32031 0.019043 -0.056152 1.005371 -0.625000 -0.062500 1.000000 0.214844 0.038574 -0.446289;
84,  0.32422 0.011230 -0.048340 0.989746 -0.250000 0.000000 1.437500 0.214844 0.038574 -0.446289;
85,  0.32812 0.019043 -0.040527 0.993652 -0.312500 0.000000 1.937500 0.192383 0.033691 -0.441406;
